2023-10-04 19:55:00,808 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2023-10-04 19:55:00,824 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2023-10-04 19:55:00,825 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2023-10-04 19:55:00,826 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2023-10-04 19:55:00,827 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2023-10-04 19:55:00,828 INFO  SwAddin.cs: 197 - Setting up callbacks
2023-10-04 19:55:00,828 INFO  SwAddin.cs: 201 - Setting up command manager
2023-10-04 19:55:00,829 INFO  SwAddin.cs: 204 - Adding command manager
2023-10-04 19:55:00,831 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2023-10-04 19:55:00,833 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2023-10-04 19:55:00,833 INFO  SwAddin.cs: 210 - Adding event handlers
2023-10-04 19:55:00,835 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2023-10-04 21:42:49,776 INFO  SwAddin.cs: 294 - Assembly export called for file Assembled
2023-10-04 21:42:49,776 INFO  SwAddin.cs: 299 - Save is required
2023-10-04 21:42:49,777 INFO  SwAddin.cs: 313 - Saving assembly
2023-10-04 21:42:54,216 INFO  SwAddin.cs: 316 - Opening property manager
2023-10-04 21:42:54,234 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assembled
2023-10-04 21:42:54,239 INFO  ExportHelperExtension.cs: 1136 - Found 40 in Assembled
2023-10-04 21:42:54,240 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Assembled
2023-10-04 21:42:54,240 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-10-04 21:42:54,241 INFO  ExportHelperExtension.cs: 1160 - 6 components to check
2023-10-04 21:42:54,242 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Link_1-1
2023-10-04 21:42:54,243 INFO  ExportHelperExtension.cs: 1136 - Found 23 in Link_1-1
2023-10-04 21:42:54,243 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Link_1-1
2023-10-04 21:42:54,244 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Link_4-1
2023-10-04 21:42:54,245 INFO  ExportHelperExtension.cs: 1136 - Found 23 in Link_4-1
2023-10-04 21:42:54,245 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Link_4-1
